plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
60,89,32,29,0,23,17,414.3906658392438,445.2013511382377,-30.810685298993917,30.810685298993917,43.951761800470436,uncertain
60,90,29,17,1,35,7,547.2573792193473,535.8483331918361,11.409046027511181,11.409046027511181,44.44219866178685,uncertain
50,64,14,26,0,1,40,494.89411707580996,494.28840086933496,0.6057162064749946,0.6057162064749946,43.51001517299673,uncertain
28,45,51,39,2,2,13,435.33998204330055,434.6590272859988,0.6809547573017767,0.6809547573017767,36.85629468872848,uncertain
68,95,23,33,0,17,35,1981.7670544172506,2028.2776215872127,-46.51056716996209,46.51056716996209,47.27793097890975,uncertain
48,75,13,18,1,33,44,1880.6544518040537,1896.760430297097,-16.105978493043267,16.105978493043267,52.365071747126734,uncertain
51,80,19,48,0,11,6,1640.2767255930394,1673.518739298489,-33.24201370544961,33.24201370544961,37.941337160859,uncertain
52,95,31,32,0,24,27,1947.4493142667516,1944.1354859634816,3.313828303269929,3.313828303269929,47.65022514536727,uncertain
77,83,20,39,0,30,17,1181.1317286021945,1172.050068714591,9.081659887603564,9.081659887603564,45.56728968889628,uncertain
59,93,38,23,1,29,38,456.90324578877267,487.4497828699681,-30.546537081195424,30.546537081195424,50.69778773984815,uncertain
60,74,28,7,1,45,27,652.2801278608994,683.8235836308124,-31.543455769913066,31.543455769913066,50.435332470225156,uncertain
61,83,20,47,0,39,9,1105.0862305542469,1092.050068714591,13.03616183965596,13.03616183965596,46.57512975150958,uncertain
66,87,7,5,0,4,4,1493.213773037065,1526.353278744119,-33.13950570705401,33.13950570705401,36.13737408803961,uncertain
96,97,47,8,0,5,7,184.45251019089645,149.44912465896485,35.0033855319316,35.0033855319316,36.92135968185561,uncertain
